text,target,TOKENIZATION,STOP_REMOVAL,tweet_normalized,tweet_tokens_stemmed,liststring
"Ini kasus sambo kapan kelarnya sih, bapak gw marah2 mulu kalo liat sidang sambo",negatif,"['ini', 'kasus', 'sambo', 'kapan', 'kelarnya', 'sih', 'bapak', 'gw', 'marah2', 'mulu', 'kalo', 'liat', 'sidang', 'sambo']","['kelarnya', 'sih', 'marah2', 'mulu', 'liat', 'sidang']","['kelarnya', 'sih', 'marah2', 'mulu', 'liat', 'sidang']","['kelar', 'sih', 'marah2', 'mulu', 'liat', 'sidang']",kelar sih marah2 mulu liat sidang
Siapa Juara Berbohong,negatif,"['siapa', 'juara', 'berbohong']","['juara', 'berbohong']","['juara', 'berbohong']","['juara', 'bohong']",juara bohong
"Smua HP dikasus Sambo ini baik saksi maupun terdakwa kebanyakan hilang, dirusakin hadehhh DRAMA",negatif,"['smua', 'hp', 'dikasus', 'sambo', 'ini', 'baik', 'saksi', 'maupun', 'terdakwa', 'kebanyakan', 'hilang', 'dirusakin', 'hadehhh', 'drama']","['smua', 'hp', 'dikasus', 'saksi', 'terdakwa', 'kebanyakan', 'hilang', 'dirusakin', 'hadehhh', 'drama']","['smua', 'hp', 'dikasus', 'saksi', 'terdakwa', 'kebanyakan', 'hilang', 'dirusakin', 'hadehhh', 'drama']","['smua', 'hp', 'kasus', 'saksi', 'dakwa', 'banyak', 'hilang', 'dirusakin', 'hadehhh', 'drama']",smua hp kasus saksi dakwa banyak hilang dirusakin hadehhh drama
Sidang Sambo dan Candrawathi ini bertele-tele banget ya.,negatif,"['sidang', 'sambo', 'dan', 'candrawathi', 'ini', 'bertele', 'tele', 'banget', 'ya', '']","['sidang', 'bertele', 'tele', '']","['sidang', 'bertele', 'tele', '']","['sidang', 'tele', 'tele', '']",sidang tele tele
Beda coy sambo itu yg perwira harus lulusan AKPOL 4thn... Kalo yg ecek2 mah tamtama bintara cuma.  temen gw yg lulusan AKPOL gak ada bikin sok sok an kaya video diatas,negatif,"['beda', 'coy', 'sambo', 'itu', 'yg', 'perwira', 'harus', 'lulusan', 'akpol', '4thn', 'kalo', 'yg', 'ecek2', 'mah', 'tamtama', 'bintara', 'cuma', 'temen', 'gw', 'yg', 'lulusan', 'akpol', 'gak', 'ada', 'bikin', 'sok', 'sok', 'an', 'kaya', 'video', 'diatas']","['beda', 'coy', 'perwira', 'lulusan', 'akpol', '4thn', 'ecek2', 'mah', 'tamtama', 'bintara', 'temen', 'lulusan', 'akpol', 'gak', 'bikin', 'sok', 'sok', 'an', 'kaya', 'video', 'diatas']","['beda', 'coy', 'perwira', 'lulusan', 'akpol', '4thn', 'ecek2', 'mah', 'tamtama', 'bintara', 'temen', 'lulusan', 'akpol', 'gak', 'bikin', 'sok', 'sok', 'an', 'kaya', 'video', 'diatas']","['beda', 'coy', 'perwira', 'lulus', 'akpol', '4thn', 'ecek2', 'mah', 'tamtama', 'bintara', 'temen', 'lulus', 'akpol', 'gak', 'bikin', 'sok', 'sok', 'an', 'kaya', 'video', 'atas']",beda coy perwira lulus akpol 4thn ecek2 mah tamtama bintara temen lulus akpol gak bikin sok sok an kaya video atas
"Sumpah bbrp bulan kmrn kegiatan abis pulang kerja pasti nontonin sidang sambo, park solomon pun terabaikan",negatif,"['sumpah', 'bbrp', 'bulan', 'kmrn', 'kegiatan', 'abis', 'pulang', 'kerja', 'pasti', 'nontonin', 'sidang', 'sambo', 'park', 'solomon', 'pun', 'terabaikan']","['sumpah', 'bbrp', 'kmrn', 'kegiatan', 'abis', 'pulang', 'kerja', 'nontonin', 'sidang', 'park', 'solomon', 'terabaikan']","['sumpah', 'bbrp', 'kmrn', 'kegiatan', 'abis', 'pulang', 'kerja', 'nontonin', 'sidang', 'park', 'solomon', 'terabaikan']","['sumpah', 'bbrp', 'kmrn', 'giat', 'abis', 'pulang', 'kerja', 'nontonin', 'sidang', 'park', 'solomon', 'abai']",sumpah bbrp kmrn giat abis pulang kerja nontonin sidang park solomon abai
Sambo ama istri harus di hukum mati dan orang yg bantu dan menghambat penyelidikan harus di hukum se umur hidup kalau tidak hukum di NKRI udah gak bisa di percaya apa lagi penegak hukum /polisi ini udah kosumsi rakyat indonesia .tegakan keadilan sesungguhnya Adik,negatif,"['sambo', 'ama', 'istri', 'harus', 'di', 'hukum', 'mati', 'dan', 'orang', 'yg', 'bantu', 'dan', 'menghambat', 'penyelidikan', 'harus', 'di', 'hukum', 'se', 'umur', 'hidup', 'kalau', 'tidak', 'hukum', 'di', 'nkri', 'udah', 'gak', 'bisa', 'di', 'percaya', 'apa', 'lagi', 'penegak', 'hukum', 'polisi', 'ini', 'udah', 'kosumsi', 'rakyat', 'indonesia', 'tegakan', 'keadilan', 'sesungguhnya', 'adik']","['hukum', 'mati', 'orang', 'bantu', 'menghambat', 'penyelidikan', 'hukum', 'umur', 'hidup', 'hukum', 'nkri', 'udah', 'gak', 'percaya', 'penegak', 'hukum', 'udah', 'kosumsi', 'rakyat', 'tegakan', 'keadilan', 'sesungguhnya', 'adik']","['hukum', 'mati', 'orang', 'bantu', 'menghambat', 'penyelidikan', 'hukum', 'umur', 'hidup', 'hukum', 'nkri', 'udah', 'gak', 'percaya', 'penegak', 'hukum', 'udah', 'kosumsi', 'rakyat', 'tegakan', 'keadilan', 'sesungguhnya', 'adik']","['hukum', 'mati', 'orang', 'bantu', 'hambat', 'lidi', 'hukum', 'umur', 'hidup', 'hukum', 'nkri', 'udah', 'gak', 'percaya', 'tegak', 'hukum', 'udah', 'kosumsi', 'rakyat', 'tega', 'adil', 'sungguh', 'adik']",hukum mati orang bantu hambat lidi hukum umur hidup hukum nkri udah gak percaya tegak hukum udah kosumsi rakyat tega adil sungguh adik
" karena kalo si sambo kan emg hanya menceritakan kronilogi dia bunuh. kalo si putri aktor utama nya. jd dia yg 1miliyar % ngarang kisah di perkosa. 
najis. biasany wanita normal takut buat speak up malu dll. tapi dia keukeuh bet ngaku dperkosa. org udah wafat msih aja d fitnah!",negatif,"['', 'karena', 'kalo', 'si', 'sambo', 'kan', 'emg', 'hanya', 'menceritakan', 'kronilogi', 'dia', 'bunuh', 'kalo', 'si', 'putri', 'aktor', 'utama', 'nya', 'jd', 'dia', 'yg', '1miliyar', 'ngarang', 'kisah', 'di', 'perkosa', 'najis', 'biasany', 'wanita', 'normal', 'takut', 'buat', 'speak', 'up', 'malu', 'dll', 'tapi', 'dia', 'keukeuh', 'bet', 'ngaku', 'dperkosa', 'org', 'udah', 'wafat', 'msih', 'aja', 'd', 'fitnah', '']","['', 'emg', 'menceritakan', 'kronilogi', 'bunuh', 'aktor', 'utama', '1miliyar', 'ngarang', 'kisah', 'perkosa', 'najis', 'biasany', 'wanita', 'normal', 'takut', 'speak', 'up', 'malu', 'dll', 'keukeuh', 'bet', 'ngaku', 'dperkosa', 'org', 'udah', 'wafat', 'msih', 'd', 'fitnah', '']","['', 'emg', 'menceritakan', 'kronilogi', 'bunuh', 'aktor', 'utama', '1miliyar', 'ngarang', 'kisah', 'perkosa', 'najis', 'biasany', 'wanita', 'normal', 'takut', 'speak', 'up', 'malu', 'dll', 'keukeuh', 'bet', 'ngaku', 'dperkosa', 'org', 'udah', 'wafat', 'msih', 'd', 'fitnah', '']","['', 'emg', 'cerita', 'kronilogi', 'bunuh', 'aktor', 'utama', '1miliyar', 'ngarang', 'kisah', 'perkosa', 'najis', 'biasany', 'wanita', 'normal', 'takut', 'speak', 'up', 'malu', 'dll', 'keukeuh', 'bet', 'ngaku', 'dperkosa', 'org', 'udah', 'wafat', 'msih', 'd', 'fitnah', '']",emg cerita kronilogi bunuh aktor utama 1miliyar ngarang kisah perkosa najis biasany wanita normal takut speak up malu dll keukeuh bet ngaku dperkosa org udah wafat msih d fitnah
"Kapolri dinilai hanya berusaha meredam adu pernyataan di antara Sambo dan Kabareskrim soal isu setoran dana tambang ilegal, bukan menindaknya.  https://t.co/hJpdHbbevr",negatif,"['kapolri', 'dinilai', 'hanya', 'berusaha', 'meredam', 'adu', 'pernyataan', 'di', 'antara', 'sambo', 'dan', 'kabareskrim', 'soal', 'isu', 'setoran', 'dana', 'tambang', 'ilegal', 'bukan', 'menindaknya', 'https', 't', 'co', 'hjpdhbbevr']","['kapolri', 'dinilai', 'berusaha', 'meredam', 'adu', 'pernyataan', 'kabareskrim', 'isu', 'setoran', 'dana', 'tambang', 'ilegal', 'menindaknya', 'https', 't', 'co', 'hjpdhbbevr']","['kapolri', 'dinilai', 'berusaha', 'meredam', 'adu', 'pernyataan', 'kabareskrim', 'isu', 'setoran', 'dana', 'tambang', 'ilegal', 'menindaknya', 'https', 't', 'co', 'hjpdhbbevr']","['kapolri', 'nilai', 'usaha', 'redam', 'adu', 'nyata', 'kabareskrim', 'isu', 'setor', 'dana', 'tambang', 'ilegal', 'tindak', 'https', 't', 'co', 'hjpdhbbevr']",kapolri nilai usaha redam adu nyata kabareskrim isu setor dana tambang ilegal tindak https t co hjpdhbbevr
sambo kenapa ga mati aja sih,negatif,"['sambo', 'kenapa', 'ga', 'mati', 'aja', 'sih']","['ga', 'mati', 'sih']","['ga', 'mati', 'sih']","['ga', 'mati', 'sih']",ga mati sih
